name,pref,address,companies,lines,exclude
蘭越,北海道,磯谷郡蘭越町蘭越町,JR北海道,JR函館本線(長万部～小樽),北海道
昆布,北海道,磯谷郡蘭越町昆布町,JR北海道,JR函館本線(長万部～小樽),北海道
ニセコ,北海道,虻田郡ニセコ町字中央通,JR北海道,JR函館本線(長万部～小樽),北海道
比羅夫,北海道,虻田郡倶知安町比羅夫,JR北海道,JR函館本線(長万部～小樽),北海道
倶知安,北海道,虻田郡倶知安町北三条西４丁目,JR北海道,JR函館本線(長万部～小樽),北海道
小沢,北海道,岩内郡共和町小沢,JR北海道,JR函館本線(長万部～小樽),北海道
銀山,北海道,余市郡仁木町銀山２丁目,JR北海道,JR函館本線(長万部～小樽),北海道
然別,北海道,余市郡仁木町然別,JR北海道,JR函館本線(長万部～小樽),北海道
仁木,北海道,余市郡仁木町字北町１丁目,JR北海道,JR函館本線(長万部～小樽),北海道
余市,北海道,余市郡余市町黒川町５丁目,JR北海道,JR函館本線(長万部～小樽),北海道
蘭島,北海道,小樽市蘭島１丁目,JR北海道,JR函館本線(長万部～小樽),北海道
塩谷,北海道,小樽市塩谷２丁目,JR北海道,JR函館本線(長万部～小樽),北海道
小樽,北海道,小樽市稲穂２丁目,JR北海道,JR函館本線(長万部～小樽)・JR函館本線(小樽～旭川),北海道
南小樽,北海道,小樽市住吉町,JR北海道,JR函館本線(小樽～旭川),北海道
小樽築港,北海道,小樽市築港,JR北海道,JR函館本線(小樽～旭川),北海道
朝里,北海道,小樽市朝里１丁目,JR北海道,JR函館本線(小樽～旭川),北海道
銭函,北海道,小樽市銭函２丁目,JR北海道,JR函館本線(小樽～旭川),北海道
ほしみ,北海道,札幌市手稲区手稲星置１条９丁目,JR北海道,JR函館本線(小樽～旭川),北海道
星置,北海道,札幌市手稲区星置１条３丁目,JR北海道,JR函館本線(小樽～旭川),北海道
稲穂,北海道,札幌市手稲区曙１条３丁目,JR北海道,JR函館本線(小樽～旭川),北海道
手稲,北海道,札幌市手稲区手稲本町１条４丁目,JR北海道,JR函館本線(小樽～旭川),北海道
稲積公園,北海道,札幌市手稲区富丘１条４丁目,JR北海道,JR函館本線(小樽～旭川),北海道
発寒,北海道,札幌市西区発寒９条１３丁目,JR北海道,JR函館本線(小樽～旭川),北海道
発寒中央,北海道,札幌市西区発寒十条３丁目,JR北海道,JR函館本線(小樽～旭川),北海道
琴似,北海道,札幌市西区琴似2条2丁目,JR北海道,JR函館本線(小樽～旭川),北海道
桑園,北海道,札幌市中央区北１１条西１５丁目,JR北海道,JR函館本線(小樽～旭川)・JR札沼線,北海道
札幌,北海道,札幌市北区北６条西４丁目,JR北海道・札幌市交通局,JR函館本線(小樽～旭川)・JR千歳線・JR札沼線・札幌市営地下鉄南北線・札幌市営地下鉄東豊線,北海道
苗穂,北海道,札幌市中央区北３条東１３丁目,JR北海道,JR函館本線(小樽～旭川)・JR千歳線,北海道
白石,北海道,札幌市白石区平和通3丁目北6,JR北海道,JR函館本線(小樽～旭川)・JR千歳線,北海道|宮城県|熊本県
厚別,北海道,札幌市厚別区厚別中央５条４丁目,JR北海道,JR函館本線(小樽～旭川),北海道
森林公園,北海道,札幌市厚別区厚別北１条４丁目,JR北海道,JR函館本線(小樽～旭川),北海道|埼玉県
大麻,北海道,江別市大麻中町,JR北海道,JR函館本線(小樽～旭川),北海道
野幌,北海道,江別市野幌町,JR北海道,JR函館本線(小樽～旭川),北海道
高砂,北海道,江別市高砂町,JR北海道,JR函館本線(小樽～旭川),兵庫県|北海道
江別,北海道,江別市萩ケ岡,JR北海道,JR函館本線(小樽～旭川),北海道
豊幌,北海道,江別市豊幌,JR北海道,JR函館本線(小樽～旭川),北海道
幌向,北海道,岩見沢市幌向南１条３丁目,JR北海道,JR函館本線(小樽～旭川),北海道
上幌向,北海道,岩見沢市上幌向南１条４丁目,JR北海道,JR函館本線(小樽～旭川),北海道
岩見沢,北海道,岩見沢市有明町南,JR北海道,JR函館本線(小樽～旭川)・JR室蘭本線(苫小牧～岩見沢),北海道
峰延,北海道,美唄市峰延,JR北海道,JR函館本線(小樽～旭川),北海道
光珠内,北海道,美唄市光珠内,JR北海道,JR函館本線(小樽～旭川),北海道
美唄,北海道,美唄市東一条南２丁目,JR北海道,JR函館本線(小樽～旭川),北海道
茶志内,北海道,美唄市茶志内町,JR北海道,JR函館本線(小樽～旭川),北海道
奈井江,北海道,空知郡奈井江町本町１区,JR北海道,JR函館本線(小樽～旭川),北海道
豊沼,北海道,砂川市豊沼町,JR北海道,JR函館本線(小樽～旭川),北海道
砂川,北海道,砂川市東２条北２丁目,JR北海道,JR函館本線(小樽～旭川),北海道
滝川,北海道,滝川市栄町４丁目,JR北海道,JR函館本線(小樽～旭川)・JR根室本線(滝川～新得),北海道
江部乙,北海道,滝川市江部乙町西町１２丁目,JR北海道,JR函館本線(小樽～旭川),北海道
妹背牛,北海道,雨竜郡妹背牛町字妹背牛,JR北海道,JR函館本線(小樽～旭川),北海道
深川,北海道,深川市１条,JR北海道,JR函館本線(小樽～旭川)・JR留萌本線,北海道
納内,北海道,深川市納内町字納内,JR北海道,JR函館本線(小樽～旭川),北海道
近文,北海道,旭川市近文町１９丁目,JR北海道,JR函館本線(小樽～旭川),北海道
旭川,北海道,旭川市宮下通８丁目,JR北海道,JR函館本線(小樽～旭川)・JR富良野線・JR宗谷本線・JR石北本線,北海道
静狩,北海道,山越郡長万部町字静狩,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
小幌,北海道,虻田郡豊浦町字礼文華,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
礼文,北海道,虻田郡豊浦町字礼文華,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
大岸,北海道,虻田郡豊浦町字大岸,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
豊浦,北海道,虻田郡豊浦町字旭町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
洞爺,北海道,虻田郡洞爺湖町旭町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
有珠,北海道,伊達市有珠町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
長和,北海道,伊達市長和町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
伊達紋別,北海道,伊達市山下町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
北舟岡,北海道,伊達市舟岡町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
稀府,北海道,伊達市南稀府町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
黄金,北海道,伊達市南黄金町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道|愛知県
崎守,北海道,室蘭市崎守町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
本輪西,北海道,室蘭市本輪西町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
室蘭,北海道,室蘭市入江町１,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
母恋,北海道,室蘭市母恋北町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
御崎,北海道,室蘭市御崎町２丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
輪西,北海道,室蘭市仲町,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
東室蘭,北海道,室蘭市東町２丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
鷲別,北海道,登別市鷲別町２丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
幌別,北海道,登別市幌別町３丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
富浦,北海道,登別市富浦町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道|千葉県
登別,北海道,登別市登別港町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
虎杖浜,北海道,白老郡白老町字虎杖浜,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
竹浦,北海道,白老郡白老町字竹浦,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
北吉原,北海道,白老郡白老町字北吉原,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
萩野,北海道,白老郡白老町字萩野,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
白老,北海道,白老郡白老町東町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
社台,北海道,白老郡白老町字社台,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
錦岡,北海道,苫小牧市字錦岡,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
糸井,北海道,苫小牧市日吉町３丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
青葉,北海道,苫小牧市青葉町１丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧),北海道
苫小牧,北海道,苫小牧市表町６丁目,JR北海道,JR室蘭本線(長万部・室蘭～苫小牧)・JR室蘭本線(苫小牧～岩見沢)・JR千歳線・JR日高本線,北海道
沼ノ端,北海道,苫小牧市字沼ノ端,JR北海道,JR室蘭本線(苫小牧～岩見沢)・JR千歳線,北海道
遠浅,北海道,勇払郡安平町遠浅,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
早来,北海道,勇払郡安平町早来大町,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
安平,北海道,勇払郡安平町安平,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
追分,北海道,勇払郡安平町追分中央,JR北海道,JR室蘭本線(苫小牧～岩見沢)・JR石勝線,三重県|北海道|滋賀県|秋田県
三川,北海道,夕張郡由仁町三川,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道|新潟県
古山,北海道,夕張郡由仁町字古山,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
由仁,北海道,夕張郡由仁町古山,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
栗山,北海道,夕張郡栗山町中央３丁目,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
栗丘,北海道,岩見沢市栗沢町栗丘,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
栗沢,北海道,岩見沢市栗沢町本町,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
志文,北海道,岩見沢市志文本町１条４丁目,JR北海道,JR室蘭本線(苫小牧～岩見沢),北海道
東滝川,北海道,滝川市東滝川,JR北海道,JR根室本線(滝川～新得),北海道
赤平,北海道,赤平市泉町１丁目,JR北海道,JR根室本線(滝川～新得),北海道
茂尻,北海道,赤平市字茂尻町南２丁目,JR北海道,JR根室本線(滝川～新得),北海道
平岸,北海道,北海道赤平市平岸仲町１丁目,JR北海道,JR根室本線(滝川～新得),北海道
芦別,北海道,芦別市本町,JR北海道,JR根室本線(滝川～新得),北海道
上芦別,北海道,芦別市上芦別町,JR北海道,JR根室本線(滝川～新得),北海道
野花南,北海道,芦別市野花南町,JR北海道,JR根室本線(滝川～新得),北海道
富良野,北海道,富良野市日の出町,JR北海道,JR根室本線(滝川～新得)・JR富良野線,北海道
布部,北海道,富良野市字布部市街地,JR北海道,JR根室本線(滝川～新得),北海道
山部,北海道,北海道富良野市字山部市山部中町,JR北海道,JR根室本線(滝川～新得),北海道
下金山,北海道,空知郡南富良野町字下金山,JR北海道,JR根室本線(滝川～新得),北海道
金山,北海道,空知郡南富良野町字金山,JR北海道,JR根室本線(滝川～新得),北海道|愛知県|福岡県
東鹿越,北海道,空知郡南富良野町東鹿越,JR北海道,JR根室本線(滝川～新得),北海道
幾寅,北海道,空知郡南富良野町幾寅仲町,JR北海道,JR根室本線(滝川～新得),北海道
落合,北海道,空知郡南富良野町落合,JR北海道,JR根室本線(滝川～新得),北海道|東京都
新得,北海道,上川郡新得町本通北１丁目,JR北海道,JR根室本線(滝川～新得)・JR根室本線(新得～釧路)・JR石勝線,北海道
十勝清水,北海道,上川郡清水町本通１丁目,JR北海道,JR根室本線(新得～釧路),北海道
御影,北海道,上川郡清水町御影本通り１丁目,JR北海道,JR根室本線(新得～釧路),兵庫県|北海道
芽室,北海道,河西郡芽室町本通り１丁目,JR北海道,JR根室本線(新得～釧路),北海道
大成,北海道,河西郡芽室町東芽室南２線,JR北海道,JR根室本線(新得～釧路),北海道
西帯広,北海道,帯広市西２３条南１丁目,JR北海道,JR根室本線(新得～釧路),北海道
柏林台,北海道,帯広市西１７条南１丁目,JR北海道,JR根室本線(新得～釧路),北海道
帯広,北海道,帯広市西２条南１２丁目,JR北海道,JR根室本線(新得～釧路),北海道
札内,北海道,中川郡幕別町字札内中央町,JR北海道,JR根室本線(新得～釧路),北海道
幕別,北海道,中川郡幕別町錦町,JR北海道,JR根室本線(新得～釧路),北海道
利別,北海道,中川郡池田町字利別西町,JR北海道,JR根室本線(新得～釧路),北海道
池田,北海道,中川郡池田町東１条１丁目,JR北海道,JR根室本線(新得～釧路),北海道|大阪府|熊本県
十弗,北海道,中川郡豊頃町字十弗宝町,JR北海道,JR根室本線(新得～釧路),北海道
豊頃,北海道,中川郡豊頃町豊頃旭町,JR北海道,JR根室本線(新得～釧路),北海道
新吉野,北海道,十勝郡浦幌町字吉野,JR北海道,JR根室本線(新得～釧路),北海道
浦幌,北海道,十勝郡浦幌町字本町,JR北海道,JR根室本線(新得～釧路),北海道
厚内,北海道,十勝郡浦幌町字厚内,JR北海道,JR根室本線(新得～釧路),北海道
音別,北海道,釧路市音別町本町１丁目,JR北海道,JR根室本線(新得～釧路),北海道
白糠,北海道,白糠郡白糠町東１条南１丁目,JR北海道,JR根室本線(新得～釧路),北海道
西庶路,北海道,白糠郡白糠町西庶路西１条南３丁目,JR北海道,JR根室本線(新得～釧路),北海道
庶路,北海道,白糠郡白糠町庶路甲区,JR北海道,JR根室本線(新得～釧路),北海道
大楽毛,北海道,釧路市大楽毛５丁目,JR北海道,JR根室本線(新得～釧路),北海道
新大楽毛,北海道,釧路市大楽毛１丁目,JR北海道,JR根室本線(新得～釧路),北海道
新富士,北海道,釧路市新富士町３丁目,JR北海道,JR根室本線(新得～釧路),北海道
釧路,北海道,釧路市北大通１４丁目,JR北海道,JR根室本線(新得～釧路)・花咲線・JR釧網本線,北海道
東釧路,北海道,釧路市貝塚２丁目,JR北海道,花咲線・JR釧網本線,北海道
武佐,北海道,釧路市武佐４丁目,JR北海道,花咲線,北海道|滋賀県
別保,北海道,釧路郡釧路町字別保,JR北海道,花咲線,北海道
上尾幌,北海道,厚岸郡厚岸町字上尾幌市街,JR北海道,花咲線,北海道
尾幌,北海道,厚岸郡厚岸町大字苫多村字尾幌,JR北海道,花咲線,北海道
門静,北海道,厚岸郡厚岸町字門静,JR北海道,花咲線,北海道
厚岸,北海道,厚岸郡厚岸町字宮園町,JR北海道,花咲線,北海道
糸魚沢,北海道,厚岸郡厚岸町大字別寒辺牛村ベカンベウシ,JR北海道,花咲線,北海道
茶内,北海道,厚岸郡浜中町大字琵琶瀬村字茶内市街,JR北海道,花咲線,北海道
浜中,北海道,厚岸郡浜中町大字後静村字浜中市街,JR北海道,花咲線,北海道
姉別,北海道,厚岸郡浜中町大字後静村字姉別市街,JR北海道,花咲線,北海道
厚床,北海道,根室市厚床１丁目,JR北海道,花咲線,北海道
別当賀,北海道,根室市別当賀,JR北海道,花咲線,北海道
落石,北海道,根室市落石東,JR北海道,花咲線,北海道
昆布盛,北海道,根室市昆布盛,JR北海道,花咲線,北海道
西和田,北海道,根室市西和田,JR北海道,花咲線,北海道
東根室,北海道,根室市光洋町２丁目,JR北海道,花咲線,北海道
根室,北海道,根室市光和町２丁目,JR北海道,花咲線,北海道
植苗,北海道,苫小牧市字植苗,JR北海道,JR千歳線,北海道
新千歳空港,北海道,千歳市美々,JR北海道,JR千歳線,北海道
南千歳,北海道,千歳市字平和,JR北海道,JR千歳線・JR石勝線,北海道
千歳,北海道,千歳市千代田町７丁目,JR北海道,JR千歳線,北海道|千葉県
長都,北海道,千歳市上長都,JR北海道,JR千歳線,北海道
サッポロビール庭園,北海道,恵庭市戸磯,JR北海道,JR千歳線,北海道
恵庭,北海道,恵庭市相生町,JR北海道,JR千歳線,北海道
恵み野,北海道,恵庭市恵み野西１丁目,JR北海道,JR千歳線,北海道
島松,北海道,恵庭市島松仲町１丁目１-１,JR北海道,JR千歳線,北海道
北広島,北海道,北広島市中央６丁目,JR北海道,JR千歳線,北海道
上野幌,北海道,札幌市厚別区厚別町上野幌,JR北海道,JR千歳線,北海道
新札幌,北海道,札幌市厚別区厚別中央二条５丁目,JR北海道・札幌市交通局,JR千歳線・札幌市営地下鉄東西線,北海道
平和,北海道,札幌市白石区平和通１６丁目北,JR北海道,JR千歳線,北海道
川端,北海道,夕張郡由仁町字川端,JR北海道,JR石勝線,北海道
滝ノ上,北海道,夕張市滝ノ上,JR北海道,JR石勝線,北海道
新夕張,北海道,夕張市紅葉山,JR北海道,JR石勝線,北海道
占冠,北海道,勇払郡占冠村占冠,JR北海道,JR石勝線,北海道
トマム,北海道,勇払郡占冠村字中トマム,JR北海道,JR石勝線,北海道
勇払,北海道,苫小牧市字勇払,JR北海道,JR日高本線,北海道
浜厚真,北海道,勇払郡厚真町字浜厚真,JR北海道,JR日高本線,北海道
浜田浦,北海道,勇払郡むかわ町田浦,JR北海道,JR日高本線,北海道
鵡川,北海道,勇払郡むかわ町末広２丁目,JR北海道,JR日高本線,北海道
汐見,北海道,勇払郡むかわ町汐見,JR北海道,JR日高本線,北海道
富川,北海道,沙流郡日高町富川南４丁目,JR北海道,JR日高本線,北海道
日高門別,北海道,沙流郡日高町門別本町,JR北海道,JR日高本線,北海道
豊郷,北海道,沙流郡日高町豊郷,JR北海道,JR日高本線,北海道|滋賀県
清畠,北海道,沙流郡日高町清畠,JR北海道,JR日高本線,北海道
厚賀,北海道,沙流郡日高町厚賀町,JR北海道,JR日高本線,北海道
大狩部,北海道,新冠郡新冠町字大狩部,JR北海道,JR日高本線,北海道
節婦,北海道,新冠郡新冠町字節婦町,JR北海道,JR日高本線,北海道
新冠,北海道,新冠郡新冠町新冠字本町,JR北海道,JR日高本線,北海道
静内,北海道,日高郡新ひだか町静内本町５丁目,JR北海道,JR日高本線,北海道
東静内,北海道,日高郡新ひだか町東静内,JR北海道,JR日高本線,北海道
春立,北海道,日高郡新ひだか町静内春立,JR北海道,JR日高本線,北海道
日高東別,北海道,日高郡新ひだか町静内東別,JR北海道,JR日高本線,北海道
日高三石,北海道,日高郡新ひだか町三石旭町,JR北海道,JR日高本線,北海道
蓬栄,北海道,日高郡新ひだか町三石蓬栄,JR北海道,JR日高本線,北海道
本桐,北海道,日高郡新ひだか町三石本桐,JR北海道,JR日高本線,北海道
荻伏,北海道,浦河郡浦河町荻伏町,JR北海道,JR日高本線,北海道
絵笛,北海道,浦河郡浦河町絵笛,JR北海道,JR日高本線,北海道
浦河,北海道,浦河郡浦河町昌平町,JR北海道,JR日高本線,北海道
東町,北海道,浦河郡浦河町東町うしお１丁目,JR北海道,JR日高本線,北海道
日高幌別,北海道,浦河郡浦河町字西幌別,JR北海道,JR日高本線,北海道
鵜苫,北海道,様似郡様似町鵜苫,JR北海道,JR日高本線,北海道
西様似,北海道,様似郡様似町西町,JR北海道,JR日高本線,北海道
様似,北海道,様似郡様似町大通１丁目,JR北海道,JR日高本線,北海道
八軒,北海道,札幌市西区八軒６条東２丁目,JR北海道,JR札沼線,北海道
新川,北海道,札幌市北区新川四条１丁目,JR北海道,JR札沼線,北海道|愛媛県|愛知県|群馬県
新琴似,北海道,札幌市北区新琴似８条１丁目,JR北海道,JR札沼線,北海道
太平,北海道,札幌市北区太平２条５丁目,JR北海道,JR札沼線,北海道
百合が原,北海道,札幌市北区篠路町太平中央,JR北海道,JR札沼線,北海道
篠路,北海道,札幌市北区篠路４条７丁目,JR北海道,JR札沼線,北海道
拓北,北海道,札幌市北区拓北６条３丁目,JR北海道,JR札沼線,北海道
あいの里教育大,北海道,札幌市北区あいの里１条５丁目,JR北海道,JR札沼線,北海道
あいの里公園,北海道,札幌市北区あいの里２条８丁目,JR北海道,JR札沼線,北海道
石狩太美,北海道,石狩郡当別町太美町,JR北海道,JR札沼線,北海道
石狩当別,北海道,石狩郡当別町字錦町,JR北海道,JR札沼線,北海道
北海道医療大学,北海道,石狩郡当別町字金沢,JR北海道,JR札沼線,北海道
北一已,北海道,深川市一已町一已,JR北海道,JR留萌本線,北海道
秩父別,北海道,雨竜郡秩父別町２６区,JR北海道,JR留萌本線,北海道
北秩父別,北海道,雨竜郡秩父別町６条１丁目,JR北海道,JR留萌本線,北海道
石狩沼田,北海道,雨竜郡沼田町沼田,JR北海道,JR留萌本線,北海道
真布,北海道,雨竜郡沼田町字真布,JR北海道,JR留萌本線,北海道
恵比島,北海道,雨竜郡沼田町字恵比島,JR北海道,JR留萌本線,北海道
峠下,北海道,留萌市留萌村峠下,JR北海道,JR留萌本線,北海道
幌糠,北海道,留萌市幌糠町幌糠,JR北海道,JR留萌本線,北海道
藤山,北海道,留萌市藤山町藤山,JR北海道,JR留萌本線,北海道
大和田,北海道,留萌市大和田,JR北海道,JR留萌本線,北海道|埼玉県|大阪府|静岡県
留萌,北海道,留萌市船場町２丁目,JR北海道,JR留萌本線,北海道
神楽岡,北海道,旭川市神楽岡４条１４丁目,JR北海道,JR富良野線,北海道
緑が丘,北海道,旭川市神楽岡１３条９丁目,JR北海道,JR富良野線,兵庫県|北海道|東京都
西御料,北海道,旭川市西神楽一線５号,JR北海道,JR富良野線,北海道
西瑞穂,北海道,旭川市西神楽一線９号,JR北海道,JR富良野線,北海道
西神楽,北海道,旭川市西神楽南１条１丁目,JR北海道,JR富良野線,北海道
西聖和,北海道,旭川市西神楽二線１７号,JR北海道,JR富良野線,北海道
千代ケ岡,北海道,北海道旭川市西神楽1線24号,JR北海道,JR富良野線,北海道
北美瑛,北海道,上川郡美瑛町字下宇莫別,JR北海道,JR富良野線,北海道
美瑛,北海道,上川郡美瑛町本町１丁目,JR北海道,JR富良野線,北海道
美馬牛,北海道,上川郡美瑛町字美馬牛,JR北海道,JR富良野線,北海道
上富良野,北海道,空知郡上富良野町中町１丁目,JR北海道,JR富良野線,北海道
西中,北海道,空知郡中富良野町基線北１８号,JR北海道,JR富良野線,北海道
ラベンダー畑,北海道,空知郡中富良野町基線北１５号,JR北海道,JR富良野線,北海道
中富良野,北海道,空知郡中富良野町市街地,JR北海道,JR富良野線,北海道
鹿討,北海道,空知郡中富良野町字富良野基線北８号,JR北海道,JR富良野線,北海道
学田,北海道,富良野市字西学田二区,JR北海道,JR富良野線,北海道
旭川四条,北海道,旭川市四条通１８丁目,JR北海道,JR宗谷本線・JR石北本線,北海道
新旭川,北海道,旭川市東八条６丁目,JR北海道,JR宗谷本線・JR石北本線,北海道
永山,北海道,旭川市永山１条１９丁目,JR北海道,JR宗谷本線,北海道
北永山,北海道,旭川市永山町１５丁目,JR北海道,JR宗谷本線,北海道
比布,北海道,上川郡比布町市街地,JR北海道,JR宗谷本線,北海道
蘭留,北海道,上川郡比布町北９線１４号,JR北海道,JR宗谷本線,北海道
塩狩,北海道,上川郡和寒町塩狩,JR北海道,JR宗谷本線,北海道
和寒,北海道,上川郡和寒町北町,JR北海道,JR宗谷本線,北海道
剣淵,北海道,上川郡剣淵町栄町,JR北海道,JR宗谷本線,北海道
士別,北海道,士別市西３条８丁目,JR北海道,JR宗谷本線,北海道
多寄,北海道,士別市多寄町３６線東,JR北海道,JR宗谷本線,北海道
瑞穂,北海道,士別市多寄町３１線東,JR北海道,JR宗谷本線,北海道
風連,北海道,名寄市風連町本町,JR北海道,JR宗谷本線,北海道
東風連,北海道,名寄市風連町東風連,JR北海道,JR宗谷本線,北海道
名寄,北海道,名寄市東１条南６丁目,JR北海道,JR宗谷本線,北海道
日進,北海道,名寄市字日進,JR北海道,JR宗谷本線,北海道|埼玉県|愛知県
智恵文,北海道,名寄市智恵文１１線,JR北海道,JR宗谷本線,北海道
智北,北海道,名寄市字智恵文,JR北海道,JR宗谷本線,北海道
