code,pref,cities,other_prefs,other_cities,exclude
0771,京都府,亀岡,,,京都府
06,大阪府,大阪・東大阪・豊中・吹田・守口,兵庫県,兵庫県:尼崎,兵庫県|大阪府
072,大阪府,堺・枚方・高槻・八尾・寝屋川・茨木・岸和田・門真 ほか,兵庫県,兵庫県:伊丹／兵庫県:川西,兵庫県|大阪府
0725,大阪府,和泉・泉大津,,,大阪府
0721,大阪府,富田林・河内長野,,,大阪府
078,兵庫県,神戸・明石,,,兵庫県
079,兵庫県,姫路・加古川・高砂,,,兵庫県
0798,兵庫県,西宮,,,兵庫県
0797,兵庫県,宝塚・芦屋,,,兵庫県
0794,兵庫県,三木,,,兵庫県
0742,奈良県,奈良,,,奈良県
0744,奈良県,橿原,,,奈良県
0743,奈良県,大和郡山・生駒,,,京都府|大阪府|奈良県
073,和歌山県,和歌山,,,和歌山県
0739,和歌山県,田辺,,,和歌山県
0857,鳥取県,鳥取,,,鳥取県
0859,鳥取県,米子,,,鳥取県
0852,島根県,松江,,,島根県
0853,島根県,出雲,,,島根県
086,岡山県,岡山・倉敷,,,岡山県
0868,岡山県,津山,,,岡山県
0863,岡山県,玉野,,,岡山県
0865,岡山県,笠岡,,,岡山県
082,広島県,広島・東広島,,,広島県
084,広島県,福山,,,広島県
0823,広島県,呉,,,広島県
0848,広島県,尾道・三原,,,広島県
083,山口県,山口・下関,,,山口県
0836,山口県,宇部,,,山口県
0835,山口県,防府,,,山口県
0827,山口県,岩国,,,山口県|広島県
0834,山口県,周南,,,山口県
0833,山口県,下松,,,山口県
088,徳島県,徳島・鳴門,高知県,高知県:高知,徳島県|高知県
0884,徳島県,阿南,,,徳島県
087,香川県,高松,,,香川県
0877,香川県,丸亀・坂出,,,香川県
089,愛媛県,松山,,,愛媛県
0897,愛媛県,新居浜・西条,,,愛媛県
0898,愛媛県,今治,,,愛媛県
0895,愛媛県,宇和島,,,愛媛県
092,福岡県,福岡・春日・大野城・筑紫野・太宰府,,,福岡県
093,福岡県,北九州,,,福岡県
0942,福岡県,久留米,佐賀県,佐賀県:鳥栖,佐賀県|福岡県
0944,福岡県,大牟田,,,熊本県|福岡県
0948,福岡県,飯塚,,,福岡県
0930,福岡県,行橋,,,福岡県
0949,福岡県,直方,,,福岡県
0940,福岡県,宗像,,,福岡県
0947,福岡県,田川,,,福岡県
0952,佐賀県,佐賀,,,佐賀県
0955,佐賀県,唐津・伊万里,,,佐賀県|長崎県
095,長崎県,長崎,,,長崎県
0956,長崎県,佐世保,,,長崎県
0957,長崎県,諫早・大村,,,長崎県
096,熊本県,熊本,,,熊本県
0965,熊本県,八代,,,熊本県
0968,熊本県,荒尾,,,熊本県
097,大分県,大分,,,大分県
0977,大分県,別府,,,大分県
0979,大分県,中津,,,大分県|福岡県
0973,大分県,日田,,,大分県
0972,大分県,佐伯,,,大分県
0985,宮崎県,宮崎,,,宮崎県
0982,宮崎県,延岡・日向,,,宮崎県
0986,宮崎県,都城,,,宮崎県|鹿児島県
099,鹿児島県,鹿児島,,,鹿児島県
0994,鹿児島県,鹿屋,,,鹿児島県
0996,鹿児島県,薩摩川内,,,鹿児島県
098,沖縄県,那覇・沖縄・浦添・宜野湾,,,沖縄県
